"DiagnosisCode","Year","Diagnoses","Treat.and.Release","Patient.Admitted","CCSR for ICD-10-CM Body System"
"MUS","2019","MUS037: Postproc musculoskel system complication",290,162,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS022: Scoliosis/oth postural dorsopathic deformity",60,14,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS032: Neurogenic/neuropathic arthropathy",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS033: Gout",2262,169,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS034: Crystal arthropathies (excluding gout)",101,56,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS025: Other specified connective tissue disease",5151,438,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS026: Muscle disorders",2429,965,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS027: Musculoskeletal abscess",14,16,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS028: Oth bone disease/musculoskel deformities",2290,73,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS029: Disorders of jaw",541,48,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS030: Aseptic necrosis and osteonecrosis",109,18,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS031: Traumatic arthropathy",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS032: Neurogenic/neuropathic arthropathy",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS033: Gout",1683,140,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS038: Low back pain",23635,144,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS035: Osteomalacia",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS009: Tendon and synovial disorders",3217,225,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS010: Musculoskeletal pain, not low back pain",71925,263,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS011: Spondylopathies/spondyloarthropathy",30493,1626,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS012: Biomechanical lesions",43,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS013: Osteoporosis",101,633,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS014: Pathological fracture, initial encounter",223,375,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS016: Stress fracture, initial encounter",1398,305,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS018: Atypical fracture, initial encounter",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS021: Acquired foot deformities",175,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS022: Scoliosis/oth postural dorsopathic deformity",133,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS023: Acquired deformities (excluding foot)",197,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS034: Crystal arthropathies (excluding gout)",72,54,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS025: Other specified connective tissue disease",7501,545,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS026: Muscle disorders",3653,1107,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS027: Musculoskeletal abscess",31,30,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS028: Oth bone disease/musculoskel deformities",3355,72,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS029: Disorders of jaw",816,76,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS008: Immune-mediated/reactive arthropathies",19,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS009: Tendon and synovial disorders",2121,184,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS010: Musculoskeletal pain, not low back pain",50117,213,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS011: Spondylopathies/spondyloarthropathy",20477,1541,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS012: Biomechanical lesions",22,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS013: Osteoporosis",72,561,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS008: Immune-mediated/reactive arthropathies",18,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS009: Tendon and synovial disorders",3158,218,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS010: Musculoskeletal pain, not low back pain",70772,236,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS011: Spondylopathies/spondyloarthropathy",29511,1497,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS012: Biomechanical lesions",47,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS013: Osteoporosis",73,578,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS014: Pathological fracture, initial encounter",199,371,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS016: Stress fracture, initial encounter",1317,308,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS018: Atypical fracture, initial encounter",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS021: Acquired foot deformities",165,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS022: Scoliosis/oth postural dorsopathic deformity",106,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS023: Acquired deformities (excluding foot)",214,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS024: Lupus and connective tissue disorders",389,354,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS025: Other specified connective tissue disease",7408,589,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS026: Muscle disorders",3544,1018,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS027: Musculoskeletal abscess",31,35,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS028: Oth bone disease/musculoskel deformities",3158,86,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS029: Disorders of jaw",828,72,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS030: Aseptic necrosis and osteonecrosis",95,29,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS031: Traumatic arthropathy",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS032: Neurogenic/neuropathic arthropathy",13,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS027: Musculoskeletal abscess",41,27,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS028: Oth bone disease/musculoskel deformities",3345,90,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS029: Disorders of jaw",1012,77,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS036: Autoinflammatory syndromes",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS037: Postproc musculoskel system complication",280,142,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS038: Low back pain",25088,118,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS032: Neurogenic/neuropathic arthropathy",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS024: Lupus and connective tissue disorders",393,421,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS013: Osteoporosis",85,422,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS014: Pathological fracture, initial encounter",198,331,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS016: Stress fracture, initial encounter",1217,263,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS018: Atypical fracture, initial encounter",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS021: Acquired foot deformities",154,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS022: Scoliosis/oth postural dorsopathic deformity",89,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS023: Acquired deformities (excluding foot)",213,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS024: Lupus and connective tissue disorders",416,359,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS025: Other specified connective tissue disease",7158,532,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS026: Muscle disorders",3516,1138,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS027: Musculoskeletal abscess",31,26,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS028: Oth bone disease/musculoskel deformities",3264,82,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS029: Disorders of jaw",899,67,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS030: Aseptic necrosis and osteonecrosis",87,24,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS031: Traumatic arthropathy",12,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS004: Juvenile arthritis",26,15,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS006: Osteoarthritis",3008,154,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS007: Other specified joint disorders",5055,194,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS035: Osteomalacia",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS036: Autoinflammatory syndromes",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS037: Postproc musculoskel system complication",257,127,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS038: Low back pain",25690,127,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS001: Infective arthritis",127,534,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS002: Osteomyelitis",489,913,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS003: Rheumatoid arthritis and related disease",577,84,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS004: Juvenile arthritis",21,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS006: Osteoarthritis",3677,136,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS007: Other specified joint disorders",4540,193,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2019","MUS008: Immune-mediated/reactive arthropathies",28,11,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS001: Infective arthritis",89,444,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS002: Osteomyelitis",278,735,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS003: Rheumatoid arthritis and related disease",524,80,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS004: Juvenile arthritis",19,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS006: Osteoarthritis",2974,214,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS007: Other specified joint disorders",4222,154,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS008: Immune-mediated/reactive arthropathies",29,14,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS009: Tendon and synovial disorders",3183,225,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS010: Musculoskeletal pain, not low back pain",71816,227,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS011: Spondylopathies/spondyloarthropathy",29775,1552,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2017","MUS012: Biomechanical lesions",54,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS001: Infective arthritis",110,429,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS002: Osteomyelitis",321,836,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS003: Rheumatoid arthritis and related disease",355,61,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS004: Juvenile arthritis",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS006: Osteoarthritis",2517,118,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2020","MUS007: Other specified joint disorders",3153,135,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS001: Infective arthritis",119,516,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS002: Osteomyelitis",378,908,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS003: Rheumatoid arthritis and related disease",571,101,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS004: Juvenile arthritis",23,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS006: Osteoarthritis",3389,203,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2018","MUS007: Other specified joint disorders",4566,166,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS001: Infective arthritis",117,457,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS002: Osteomyelitis",346,1198,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS003: Rheumatoid arthritis and related disease",659,90,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS022: Scoliosis/oth postural dorsopathic deformity",147,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS023: Acquired deformities (excluding foot)",213,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS024: Lupus and connective tissue disorders",425,397,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS008: Immune-mediated/reactive arthropathies",23,13,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS009: Tendon and synovial disorders",3462,225,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS010: Musculoskeletal pain, not low back pain",77922,264,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS011: Spondylopathies/spondyloarthropathy",31415,1494,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS012: Biomechanical lesions",54,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS013: Osteoporosis",106,467,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS014: Pathological fracture, initial encounter",243,325,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS016: Stress fracture, initial encounter",1183,270,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS018: Atypical fracture, initial encounter",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS021: Acquired foot deformities",144,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS034: Crystal arthropathies (excluding gout)",99,53,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS035: Osteomalacia",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS036: Autoinflammatory syndromes",NA,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS025: Other specified connective tissue disease",7514,607,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS026: Muscle disorders",3658,1069,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS030: Aseptic necrosis and osteonecrosis",78,25,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS031: Traumatic arthropathy",16,NA,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS033: Gout",2518,178,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS038: Low back pain",28854,132,"Diseases of the musculoskeletal system and connective tissue"
"MUS","2016","MUS037: Postproc musculoskel system complication",275,135,"Diseases of the musculoskeletal system and connective tissue"
"NEO","2019","NEO061: Leukemia - chronic lymphocytic leukemia",82,68,"Neoplasms"
"NEO","2019","NEO060: Leukemia - acute myeloid leukemia (AML)",76,208,"Neoplasms"
"NEO","2019","NEO065: Multiple myeloma",122,183,"Neoplasms"
"NEO","2019","NEO059: Leukemia - acute lymphoblastic leukemia",76,131,"Neoplasms"
"NEO","2018","NEO060: Leukemia - acute myeloid leukemia (AML)",62,192,"Neoplasms"
"NEO","2018","NEO061: Leukemia - chronic lymphocytic leukemia",53,61,"Neoplasms"
"NEO","2019","NEO062: Leukemia - chronic myeloid leukemia (CML)",52,54,"Neoplasms"
"NEO","2018","NEO059: Leukemia - acute lymphoblastic leukemia",70,110,"Neoplasms"
"NEO","2017","NEO066: Malignant neuroendocrine tumors",15,80,"Neoplasms"
"NEO","2017","NEO067: Mesothelioma",11,34,"Neoplasms"
"NEO","2017","NEO068: Myelodysplastic syndrome (MDS)",161,161,"Neoplasms"
"NEO","2017","NEO069: Cancer of other sites",11,11,"Neoplasms"
"NEO","2017","NEO070: Secondary malignancies",426,1880,"Neoplasms"
"NEO","2017","NEO071: Malignant neoplasm, unspecified",29,37,"Neoplasms"
"NEO","2017","NEO072: Neoplasms of unspec nature/uncert behavior",239,188,"Neoplasms"
"NEO","2017","NEO073: Benign neoplasms",1722,486,"Neoplasms"
"NEO","2017","NEO074: Conditions due to neoplasm/Tx of neoplasm",437,715,"Neoplasms"
"NEO","2018","NEO017: Gastrointestinal cancers - liver",141,185,"Neoplasms"
"NEO","2018","NEO018: Gastrointestinal cancers - bile duct",25,62,"Neoplasms"
"NEO","2018","NEO019: Gastrointestinal cancers - gallbladder",11,13,"Neoplasms"
"NEO","2018","NEO020: Gastrointestinal cancers - peritoneum",11,20,"Neoplasms"
"NEO","2018","NEO021: Gastrointestinal cancers - all other types",14,45,"Neoplasms"
"NEO","2018","NEO022: Respiratory cancers",414,967,"Neoplasms"
"NEO","2018","NEO023: Bone cancer",32,28,"Neoplasms"
"NEO","2018","NEO024: Sarcoma",20,52,"Neoplasms"
"NEO","2018","NEO025: Skin cancers - melanoma",23,12,"Neoplasms"
"NEO","2018","NEO026: Skin cancers - basal cell carcinoma",12,NA,"Neoplasms"
"NEO","2018","NEO027: Skin cancers - squamous cell carcinoma",11,14,"Neoplasms"
"NEO","2018","NEO028: Skin cancers - all other types",18,NA,"Neoplasms"
"NEO","2018","NEO029: Breast cancer - ductal carcinoma in situ",NA,NA,"Neoplasms"
"NEO","2018","NEO030: Breast cancer - all other types",199,118,"Neoplasms"
"NEO","2018","NEO031: Female repro system cancers - uterus",25,15,"Neoplasms"
"NEO","2018","NEO032: Female repro system cancers - cervix",43,38,"Neoplasms"
"NEO","2018","NEO033: Female repro system cancers - ovary",94,122,"Neoplasms"
"NEO","2018","NEO034: Female repro system cancers - fallopian tube",NA,NA,"Neoplasms"
"NEO","2018","NEO035: Female repro system cancers - endometrium",23,53,"Neoplasms"
"NEO","2018","NEO036: Female repro system cancers - vulva",NA,NA,"Neoplasms"
"NEO","2018","NEO037: Female repro system cancers - vagina",NA,NA,"Neoplasms"
"NEO","2018","NEO038: Female repro system cancers - all oth types",NA,NA,"Neoplasms"
"NEO","2018","NEO039: Male repro system cancers - prostate",107,88,"Neoplasms"
"NEO","2018","NEO040: Male repro system cancers - testis",17,21,"Neoplasms"
"NEO","2018","NEO041: Male repro system cancers - penis",NA,NA,"Neoplasms"
"NEO","2018","NEO042: Male repro system cancers - all oth types",NA,NA,"Neoplasms"
"NEO","2018","NEO043: Urinary system cancers - bladder",85,204,"Neoplasms"
"NEO","2018","NEO044: Urinary system cancers - ureter/renal pelvis",NA,23,"Neoplasms"
"NEO","2018","NEO045: Urinary system cancers - kidney",74,136,"Neoplasms"
"NEO","2018","NEO046: Urinary system cancers - urethra",NA,NA,"Neoplasms"
"NEO","2018","NEO047: Urinary system cancers - all other types",NA,NA,"Neoplasms"
"NEO","2018","NEO048: Nervous system cancers - brain",117,335,"Neoplasms"
"NEO","2018","NEO049: Nervous system cancers - all other types",NA,12,"Neoplasms"
"NEO","2018","NEO050: Endocrine system cancers - thyroid",16,11,"Neoplasms"
"NEO","2018","NEO051: Endocrine system cancers - pancreas",170,395,"Neoplasms"
"NEO","2018","NEO052: Endocrine system cancers - thymus",NA,NA,"Neoplasms"
"NEO","2018","NEO053: Endocrine system cancers - adrenocortical",NA,NA,"Neoplasms"
"NEO","2018","NEO054: Endocrine system cancers - parathyroid",NA,NA,"Neoplasms"
"NEO","2018","NEO055: Endocrine system cancers - pituitary gland",NA,NA,"Neoplasms"
"NEO","2018","NEO056: Endocrine system cancers - all other types",11,NA,"Neoplasms"
"NEO","2018","NEO057: Hodgkin lymphoma",16,36,"Neoplasms"
"NEO","2018","NEO058: Non-Hodgkin lymphoma",142,433,"Neoplasms"
"NEO","2019","NEO001: Head and neck cancers - eye",NA,NA,"Neoplasms"
"NEO","2019","NEO002: Head and neck cancers - lip and oral cavity",50,44,"Neoplasms"
"NEO","2018","NEO062: Leukemia - chronic myeloid leukemia (CML)",35,58,"Neoplasms"
"NEO","2018","NEO063: Leukemia - hairy cell",NA,NA,"Neoplasms"
"NEO","2018","NEO064: Leukemia - all other types",76,55,"Neoplasms"
"NEO","2018","NEO065: Multiple myeloma",68,160,"Neoplasms"
"NEO","2019","NEO007: Head and neck cancers - pharyngeal",28,NA,"Neoplasms"
"NEO","2018","NEO066: Malignant neuroendocrine tumors",20,96,"Neoplasms"
"NEO","2018","NEO067: Mesothelioma",NA,25,"Neoplasms"
"NEO","2018","NEO068: Myelodysplastic syndrome (MDS)",171,131,"Neoplasms"
"NEO","2018","NEO069: Cancer of other sites",15,14,"Neoplasms"
"NEO","2018","NEO070: Secondary malignancies",537,2142,"Neoplasms"
"NEO","2018","NEO071: Malignant neoplasm, unspecified",37,42,"Neoplasms"
"NEO","2018","NEO072: Neoplasms of unspec nature/uncert behavior",300,169,"Neoplasms"
"NEO","2018","NEO073: Benign neoplasms",1967,569,"Neoplasms"
"NEO","2018","NEO074: Conditions due to neoplasm/Tx of neoplasm",473,763,"Neoplasms"
"NEO","2019","NEO017: Gastrointestinal cancers - liver",155,193,"Neoplasms"
"NEO","2019","NEO018: Gastrointestinal cancers - bile duct",26,81,"Neoplasms"
"NEO","2019","NEO019: Gastrointestinal cancers - gallbladder",NA,24,"Neoplasms"
"NEO","2019","NEO020: Gastrointestinal cancers - peritoneum",11,21,"Neoplasms"
"NEO","2019","NEO021: Gastrointestinal cancers - all other types",18,60,"Neoplasms"
"NEO","2019","NEO022: Respiratory cancers",522,867,"Neoplasms"
"NEO","2019","NEO023: Bone cancer",37,46,"Neoplasms"
"NEO","2019","NEO024: Sarcoma",26,45,"Neoplasms"
"NEO","2019","NEO025: Skin cancers - melanoma",29,12,"Neoplasms"
"NEO","2019","NEO026: Skin cancers - basal cell carcinoma",11,NA,"Neoplasms"
"NEO","2019","NEO027: Skin cancers - squamous cell carcinoma",13,15,"Neoplasms"
"NEO","2019","NEO028: Skin cancers - all other types",14,NA,"Neoplasms"
"NEO","2019","NEO029: Breast cancer - ductal carcinoma in situ",NA,NA,"Neoplasms"
"NEO","2019","NEO030: Breast cancer - all other types",281,137,"Neoplasms"
"NEO","2019","NEO031: Female repro system cancers - uterus",20,19,"Neoplasms"
"NEO","2019","NEO032: Female repro system cancers - cervix",42,45,"Neoplasms"
"NEO","2019","NEO033: Female repro system cancers - ovary",104,135,"Neoplasms"
"NEO","2019","NEO034: Female repro system cancers - fallopian tube",NA,NA,"Neoplasms"
"NEO","2019","NEO035: Female repro system cancers - endometrium",36,62,"Neoplasms"
"NEO","2019","NEO036: Female repro system cancers - vulva",NA,NA,"Neoplasms"
"NEO","2019","NEO037: Female repro system cancers - vagina",NA,NA,"Neoplasms"
"NEO","2019","NEO038: Female repro system cancers - all oth types",NA,NA,"Neoplasms"
"NEO","2019","NEO039: Male repro system cancers - prostate",175,96,"Neoplasms"
"NEO","2019","NEO040: Male repro system cancers - testis",17,14,"Neoplasms"
"NEO","2019","NEO041: Male repro system cancers - penis",NA,NA,"Neoplasms"
"NEO","2019","NEO042: Male repro system cancers - all oth types",NA,NA,"Neoplasms"
"NEO","2019","NEO043: Urinary system cancers - bladder",126,178,"Neoplasms"
"NEO","2019","NEO044: Urinary system cancers - ureter/renal pelvis",NA,19,"Neoplasms"
"NEO","2019","NEO045: Urinary system cancers - kidney",91,108,"Neoplasms"
"NEO","2019","NEO046: Urinary system cancers - urethra",NA,NA,"Neoplasms"
"NEO","2019","NEO047: Urinary system cancers - all other types",NA,NA,"Neoplasms"
"NEO","2019","NEO048: Nervous system cancers - brain",132,357,"Neoplasms"
"NEO","2019","NEO049: Nervous system cancers - all other types",NA,13,"Neoplasms"
"NEO","2019","NEO050: Endocrine system cancers - thyroid",13,13,"Neoplasms"
"NEO","2019","NEO051: Endocrine system cancers - pancreas",238,419,"Neoplasms"
"NEO","2019","NEO052: Endocrine system cancers - thymus",NA,NA,"Neoplasms"
"NEO","2019","NEO053: Endocrine system cancers - adrenocortical",NA,NA,"Neoplasms"
"NEO","2019","NEO054: Endocrine system cancers - parathyroid",NA,NA,"Neoplasms"
"NEO","2019","NEO055: Endocrine system cancers - pituitary gland",NA,NA,"Neoplasms"
"NEO","2019","NEO056: Endocrine system cancers - all other types",NA,NA,"Neoplasms"
"NEO","2019","NEO057: Hodgkin lymphoma",26,43,"Neoplasms"
"NEO","2019","NEO058: Non-Hodgkin lymphoma",188,419,"Neoplasms"
"NEO","2020","NEO001: Head and neck cancers - eye",NA,NA,"Neoplasms"
"NEO","2020","NEO002: Head and neck cancers - lip and oral cavity",31,39,"Neoplasms"
"NEO","2020","NEO003: Head and neck cancers - throat",NA,12,"Neoplasms"
"NEO","2019","NEO063: Leukemia - hairy cell",NA,NA,"Neoplasms"
"NEO","2019","NEO064: Leukemia - all other types",81,44,"Neoplasms"
"NEO","2017","NEO059: Leukemia - acute lymphoblastic leukemia",37,102,"Neoplasms"
"NEO","2017","NEO060: Leukemia - acute myeloid leukemia (AML)",36,169,"Neoplasms"
"NEO","2017","NEO061: Leukemia - chronic lymphocytic leukemia",45,63,"Neoplasms"
"NEO","2017","NEO062: Leukemia - chronic myeloid leukemia (CML)",28,43,"Neoplasms"
"NEO","2017","NEO063: Leukemia - hairy cell",NA,NA,"Neoplasms"
"NEO","2017","NEO064: Leukemia - all other types",66,78,"Neoplasms"
"NEO","2017","NEO065: Multiple myeloma",57,165,"Neoplasms"
"NEO","2019","NEO071: Malignant neoplasm, unspecified",59,48,"Neoplasms"
"NEO","2019","NEO072: Neoplasms of unspec nature/uncert behavior",298,192,"Neoplasms"
"NEO","2019","NEO073: Benign neoplasms",1896,551,"Neoplasms"
"NEO","2019","NEO074: Conditions due to neoplasm/Tx of neoplasm",400,853,"Neoplasms"
"NEO","2020","NEO017: Gastrointestinal cancers - liver",126,144,"Neoplasms"
"NEO","2020","NEO018: Gastrointestinal cancers - bile duct",50,57,"Neoplasms"
"NEO","2020","NEO019: Gastrointestinal cancers - gallbladder",NA,16,"Neoplasms"
"NEO","2020","NEO020: Gastrointestinal cancers - peritoneum",NA,11,"Neoplasms"
"NEO","2020","NEO021: Gastrointestinal cancers - all other types",21,51,"Neoplasms"
"NEO","2020","NEO022: Respiratory cancers",408,855,"Neoplasms"
"NEO","2020","NEO023: Bone cancer",37,30,"Neoplasms"
"NEO","2020","NEO024: Sarcoma",25,45,"Neoplasms"
"NEO","2020","NEO025: Skin cancers - melanoma",30,NA,"Neoplasms"
"NEO","2020","NEO026: Skin cancers - basal cell carcinoma",13,NA,"Neoplasms"
"NEO","2020","NEO027: Skin cancers - squamous cell carcinoma",21,NA,"Neoplasms"
"NEO","2020","NEO028: Skin cancers - all other types",15,NA,"Neoplasms"
"NEO","2020","NEO029: Breast cancer - ductal carcinoma in situ",NA,NA,"Neoplasms"
"NEO","2020","NEO030: Breast cancer - all other types",190,118,"Neoplasms"
"NEO","2020","NEO031: Female repro system cancers - uterus",17,15,"Neoplasms"
"NEO","2020","NEO032: Female repro system cancers - cervix",43,40,"Neoplasms"
"NEO","2020","NEO033: Female repro system cancers - ovary",88,112,"Neoplasms"
